id,Unknown,Straight_and_Level,Straight_and_Grade,Straight_at_Hill_Crest,Curve_and_Level,Curve_and_Grade,Curve_at_Hill_Crest
Wappinger Falls,13,81,24,3,2,1,1
Candor,2,42,8,4,10,7,1
Skaneateles,17,105,43,11,10,8,1
Solvay,3,30,13,,,3,1
Oyster Bay Cove,3,22,5,4,5,5,
Cornwall,16,159,53,15,30,45,1
Rush,8,69,11,4,4,6,2
Pittsfield,4,14,7,1,4,14,
Grand Island,21,135,23,7,8,3,
Avon,10,124,33,4,11,5,3
Manheim,5,10,5,1,1,4,
Middletown,39,366,94,12,14,28,1
Clinton,10,92,33,5,16,21,5
Lake George,9,69,49,7,5,33,3
Trenton,4,47,28,,10,8,1
Wheatfield,7,262,8,2,25,1,
Plainfield,,9,2,,2,3,
Deposit,6,17,11,,12,8,
Collins,3,17,10,2,5,6,1
Clay,30,697,51,2,51,7,
Clermont,1,22,3,,7,1,2
Olean,19,243,35,5,20,9,3
Johnstown,11,199,67,7,20,38,3
Lewiston,12,136,32,2,22,13,3
Newfield,5,42,28,9,9,24,4
Williston Park,6,78,3,1,1,1,
Flower Hill,1,119,33,9,6,6,
Owego,15,175,46,3,50,37,2
Brunswick,10,164,64,5,29,17,3
Ulster,17,469,73,4,67,31,
Italy,4,15,2,1,6,11,
Schroeppel,4,86,6,3,26,3,2
Greenburgh,55,703,152,36,68,94,20
Cheektowaga,150,1069,126,16,95,63,5
Cazenovia,6,75,25,9,15,8,
Fulton,5,248,42,1,17,4,1
Bath,12,155,22,2,20,20,2
Harrison,34,286,58,13,53,39,3
Niskayuna,8,78,270,2,7,48,4
Homer,11,90,20,6,13,17,2
Charleston,,7,12,3,2,7,
Eden,7,63,13,3,11,8,
Lansing,15,206,68,,24,16,1
Briarcliff Manor,17,75,38,5,10,11,1
Halfmoon,16,292,69,7,34,30,
Glen Cove,25,195,40,7,21,14,
Pavilion,4,54,30,4,2,3,
Patchogue,19,151,2,,10,2,
Westbury,14,439,33,5,44,32,2
Baxter Estates,,4,5,,2,2,1
Spring Valley,13,275,58,29,5,12,
Ulysses,10,82,23,2,10,7,2
Ticonderoga,5,83,17,1,10,7,4
